Date,SPX,GLD,USO,SLV,EUR/USD
2015-01-02,2058.199951171875,114.08000183105469,159.1199951171875,15.109999656677246,1.2089413404464722
2015-01-05,2020.5799560546875,115.80000305175781,150.32000732421875,15.5,1.194643259048462
2015-01-06,2002.6099853515625,117.12000274658203,144.39999389648438,15.829999923706055,1.193901538848877
2015-01-07,2025.9000244140625,116.43000030517578,146.9600067138672,15.850000381469727,1.1875356435775757
2015-01-08,2062.139892578125,115.94000244140625,148.39999389648438,15.640000343322754,1.1836000680923462
2015-01-09,2044.81005859375,117.26000213623047,146.24000549316406,15.770000457763672,1.1796069145202637
2015-01-12,2028.260009765625,118.55999755859375,139.27999877929688,15.869999885559082,1.187070369720459
2015-01-13,2023.030029296875,118.16000366210938,140.9600067138672,16.290000915527344,1.1831519603729248
2015-01-14,2011.27001953125,117.97000122070312,146.16000366210938,16.1299991607666,1.1778285503387451
2015-01-15,1992.6700439453125,120.94000244140625,139.60000610351562,16.149999618530273,1.1785920858383179
2015-01-16,2019.4200439453125,122.5199966430664,146.63999938964844,16.950000762939453,1.1637378931045532
2015-01-20,2022.550048828125,124.19999694824219,139.83999633789062,17.18000030517578,1.1597968339920044
2015-01-21,2032.1199951171875,124.2300033569336,142.16000366210938,17.3700008392334,1.1546944379806519
2015-01-22,2063.14990234375,125.2300033569336,139.27999877929688,17.610000610351562,1.1615345478057861
2015-01-23,2051.820068359375,124.2300033569336,136.0,17.510000228881836,1.1346745491027832
2015-01-26,2057.090087890625,122.98999786376953,134.9600067138672,17.1299991607666,1.1125450134277344
2015-01-27,2029.550048828125,124.4000015258789,137.67999267578125,17.329999923706055,1.1247708797454834
2015-01-28,2002.1600341796875,123.41999816894531,132.47999572753906,17.229999542236328,1.1367381811141968
2015-01-29,2021.25,120.76000213623047,133.44000244140625,16.239999771118164,1.1281461715698242
2015-01-30,1994.989990234375,123.44999694824219,142.55999755859375,16.540000915527344,1.13355553150177
2015-02-02,2020.8499755859375,122.41999816894531,148.9600067138672,16.469999313354492,1.1309019327163696
2015-02-03,2050.030029296875,121.05000305175781,156.9600067138672,16.549999237060547,1.1341726779937744
2015-02-04,2041.510009765625,121.58000183105469,146.24000549316406,16.6299991607666,1.145737886428833
2015-02-05,2062.52001953125,121.79000091552734,152.24000549316406,16.579999923706055,1.131874680519104
2015-02-06,2055.469970703125,118.63999938964844,155.75999450683594,16.030000686645508,1.147196888923645
2015-02-09,2046.739990234375,119.16999816894531,158.16000366210938,16.31999969482422,1.1314393281936646
2015-02-10,2068.590087890625,118.47000122070312,151.52000427246094,16.190000534057617,1.1326953172683716
2015-02-11,2068.530029296875,117.06999969482422,148.0800018310547,16.079999923706055,1.1321951150894165
2015-02-12,2088.47998046875,117.33999633789062,153.44000244140625,16.149999618530273,1.131196141242981
2015-02-13,2096.989990234375,117.9800033569336,156.9600067138672,16.540000915527344,1.140393853187561
2015-02-17,2100.340087890625,116.01000213623047,158.32000732421875,15.829999923706055,1.1334012746810913
2015-02-18,2099.679931640625,116.33999633789062,154.0800018310547,15.75,1.1404719352722168
2015-02-19,2097.449951171875,115.94000244140625,152.8000030517578,15.699999809265137,1.1400039196014404
2015-02-20,2110.300048828125,115.27999877929688,149.1999969482422,15.539999961853027,1.1366735696792603
2015-02-23,2109.659912109375,115.43000030517578,144.8800048828125,15.630000114440918,1.1381484270095825
2015-02-24,2115.47998046875,115.26000213623047,144.32000732421875,15.5600004196167,1.1332985162734985
2015-02-25,2113.860107421875,115.69999694824219,149.1999969482422,15.829999923706055,1.1339025497436523
2015-02-26,2110.739990234375,116.06999969482422,144.24000549316406,15.84000015258789,1.1363636255264282
2015-02-27,2104.5,116.16000366210938,144.8000030517578,15.869999885559082,1.1205360889434814
2015-03-02,2117.389892578125,115.68000030517578,146.55999755859375,15.65999984741211,1.1161960363388062
2015-03-03,2107.780029296875,115.47000122070312,147.9199981689453,15.579999923706055,1.1179054975509644
2015-03-04,2098.530029296875,115.11000061035156,152.0800018310547,15.489999771118164,1.118217945098877
2015-03-05,2101.0400390625,115.0,149.67999267578125,15.529999732971191,1.1082050800323486
2015-03-06,2071.260009765625,111.86000061035156,145.9199981689453,15.1899995803833,1.1032048463821411
2015-03-09,2079.429931640625,111.97000122070312,146.8000030517578,15.100000381469727,1.0845986604690552
2015-03-10,2044.1600341796875,111.41999816894531,143.27999877929688,15.020000457763672,1.0833414793014526
2015-03-11,2040.239990234375,110.75,142.16000366210938,14.84000015258789,1.0708701610565186
2015-03-12,2065.949951171875,110.72000122070312,139.52000427246094,14.920000076293945,1.0548745393753052
2015-03-13,2053.39990234375,110.87999725341797,134.39999389648438,14.899999618530273,1.0626314878463745
2015-03-16,2081.18994140625,110.80999755859375,130.8000030517578,14.989999771118164,1.0481630563735962
2015-03-17,2074.280029296875,110.20999908447266,127.68000030517578,14.899999618530273,1.0572947263717651
2015-03-18,2099.5,112.37000274658203,134.0800018310547,15.359999656677246,1.0598047971725464
2015-03-19,2089.27001953125,112.29000091552734,128.63999938964844,15.4399995803833,1.0849988460540771
2015-03-20,2108.10009765625,113.56999969482422,131.44000244140625,16.0,1.066894292831421
